adm1_name,adm2_name,adm2_code,yyyymm,event_id,period,season,timeline_severity,severity_label,status,cells_inferred,mean_confidence,dominant_class,model_severity,model_severity_label,severity_gap,comparison,elapsed_seconds,error,gamma_observed_spi3_class_code,gamma_observed_spi3_pixel_count,gamma_observed_spi3_class,gamma_observed_spi3_severity,gamma_spi3_severity_gap,gamma_spi3_comparison
Matabeleland South,Beitbridge,33095,202310,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.4761554607969943,severe,3,3 - Severe,-2,underestimated,1060.86,,0,553,normal,0,3,overestimated
Matabeleland South,Beitbridge,33095,202311,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.6207721418756689,normal,0,0 - Normal,-5,underestimated,1079.44,,2,553,severe,3,-3,underestimated
Matabeleland South,Beitbridge,33095,202312,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.9624997116557944,normal,0,0 - Normal,-5,underestimated,1050.44,,0,553,normal,0,0,matched
Matabeleland South,Beitbridge,33095,202401,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.992504320351599,normal,0,0 - Normal,-5,underestimated,1665.9,,0,553,normal,0,0,matched
Matabeleland South,Beitbridge,33095,202402,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.9977001806495418,normal,0,0 - Normal,-5,underestimated,2017.26,,0,553,normal,0,0,matched
Matabeleland South,Beitbridge,33095,202403,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.9951233343233036,normal,0,0 - Normal,-5,underestimated,1878.69,,1,553,moderate,2,-2,underestimated
Matabeleland South,Beitbridge,33095,202404,17,2023-2024,2023/24,5,5 - Catastrophic,success,553,0.982748717123518,normal,0,0 - Normal,-5,underestimated,1777.87,,1,553,moderate,2,-2,underestimated
Masvingo,Mwenezi,33086,202310,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.4205010728715183,moderate,2,2 - Moderate,-3,underestimated,1086.32,,0,572,normal,0,2,overestimated
Masvingo,Mwenezi,33086,202311,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.6012611159390503,normal,0,0 - Normal,-5,underestimated,1007.72,,0,572,normal,0,0,matched
Masvingo,Mwenezi,33086,202312,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.9570260783592304,normal,0,0 - Normal,-5,underestimated,1069.36,,0,572,normal,0,0,matched
Masvingo,Mwenezi,33086,202401,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.9918647691920087,normal,0,0 - Normal,-5,underestimated,1035.41,,0,572,normal,0,0,matched
Masvingo,Mwenezi,33086,202402,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.9973433635659985,normal,0,0 - Normal,-5,underestimated,1024.19,,0,572,normal,0,0,matched
Masvingo,Mwenezi,33086,202403,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.9920932778736928,normal,0,0 - Normal,-5,underestimated,913.07,,1,572,moderate,2,-2,underestimated
Masvingo,Mwenezi,33086,202404,17,2023-2024,2023/24,5,5 - Catastrophic,success,572,0.9834726040179913,normal,0,0 - Normal,-5,underestimated,1168.93,,1,572,moderate,2,-2,underestimated
